Title,Discretionary-Mandatory,Spend-Category,Agency,Bureau,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
"Commissary funds, Federal prisons (trust revolving fund)",Mandatory,Other Spending,Department of Justice                                           ,Federal Prison System,1,4,0,0,0,0,0,0,0,0,0
High Intensity Drug Trafficking Areas Program                   ,Discretionary,Nondefense,Federal Drug Control Programs                                   ,Federal Drug Control Programs                                   ,276,281,286,291,298,304,310,317,323,330,336
Victims Compensation Fund                                       ,Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,"1,019",869,869,418,0,0,0,0,0,0,0
"Research, Evaluation, and Statistics                            ",Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,113,118,122,128,130,133,135,137,140,143,146
Public Safety Officer Benefits                                  ,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,25,26,26,27,27,28,28,29,29,30,31
Public Safety Officer Benefits                                  ,Mandatory,Other Spending,Department of Justice                                           ,Office of Justice Programs,114,117,120,122,125,127,130,133,135,138,141
State and local law enforcement assistance,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,"1,496","1,600","1,666","1,698","1,728","1,764","1,801","1,838","1,876","1,915","1,954"
Juvenile justice programs,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,254,270,276,284,289,295,300,307,313,319,326
Community oriented policing services,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,245,241,227,235,240,246,251,256,262,267,273
Violence against women prevention and prosecution programs      ,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,464,483,482,490,499,510,520,532,543,554,566
Crime victims fund,Mandatory,Other Spending,Department of Justice                                           ,Office of Justice Programs,"2,401","3,771","5,402","5,923","5,898","4,445","3,186","2,500","2,500","2,500","2,500"
United States Victims of State Sponsored Terrorism Fund         ,Mandatory,Other Spending,Department of Justice                                           ,Legal Activities and U.S. Marshals,"1,077",339,189,190,191,191,192,147,28,0,0
Federal Payment to the District of Columbia Public Defender Serv,Discretionary,Nondefense,Public Defender Service for the District of Columbia            ,Public Defender Service for the District of Columbia            ,42,42,45,47,48,50,52,53,55,57,59
"Compensation of members, Senate",Mandatory,Other Spending,Legislative Branch                                              ,Senate,29,30,31,33,34,35,37,38,39,41,42
"Salaries, officers and employees",Discretionary,Nondefense,Legislative Branch                                              ,Senate,202,207,212,216,220,225,230,235,239,244,249
Miscellaneous items,Discretionary,Nondefense,Legislative Branch                                              ,Senate,16,16,17,17,18,18,18,19,19,20,20
Secretary of the Senate,Discretionary,Nondefense,Legislative Branch                                              ,Senate,10,11,10,10,10,11,11,11,11,12,12
Sergeant at Arms and Doorkeeper of the Senate,Discretionary,Nondefense,Legislative Branch                                              ,Senate,126,128,130,132,135,138,141,143,146,149,153
Inquiries and investigations,Discretionary,Nondefense,Legislative Branch                                              ,Senate,129,132,133,136,139,142,145,148,151,154,157
Senators' official personnel and office expense account,Discretionary,Nondefense,Legislative Branch                                              ,Senate,422,432,441,450,458,468,478,488,498,508,519
Office of Senate Legal Counsel,Discretionary,Nondefense,Legislative Branch                                              ,Senate,1,1,1,1,1,1,1,1,1,1,1
Joint Economic Committee,Discretionary,Nondefense,Legislative Branch                                              ,Joint Items,4,4,4,4,4,4,5,5,5,5,5
Office of the Legislative Counsel of the Senate,Discretionary,Nondefense,Legislative Branch                                              ,Senate,6,6,6,6,7,7,7,7,7,7,7
"Congressional use of foreign currency, Senate",Mandatory,Other Spending,Legislative Branch                                              ,Senate,6,6,6,6,7,7,7,7,7,7,7
Office of Congressional Accessibility Services                  ,Discretionary,Nondefense,Legislative Branch                                              ,Joint Items,1,1,1,1,1,1,1,1,1,1,1
Compensation of members and related administrative expenses,Mandatory,Other Spending,Legislative Branch                                              ,House of Representatives,118,120,125,128,131,135,138,142,146,150,154
Salaries and expenses,Discretionary,Nondefense,Legislative Branch                                              ,House of Representatives,"1,218","1,262","1,310","1,359","1,408","1,457","1,508","1,559","1,611","1,667","1,725"
Office of the Attending Physician,Discretionary,Nondefense,Legislative Branch                                              ,Joint Items,4,4,4,4,4,4,5,5,5,5,5
Joint Committee on Taxation,Discretionary,Nondefense,Legislative Branch                                              ,Joint Items,11,11,12,12,13,13,14,14,15,16,16
"Congressional use of foreign currency, House of Representatives",Mandatory,Other Spending,Legislative Branch                                              ,House of Representatives,6,6,6,6,6,6,6,6,6,6,6
Pay Freeze for Members,Mandatory,Other Spending,Legislative Branch                                              ,Legislative Branch,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3
Expenses on US Senate Caucus on International Narcotics Control,Discretionary,Nondefense,Legislative Branch                                              ,Senate,1,1,1,1,1,1,1,1,1,1,1
